period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,73920,73920,,,0.0,0.0,0,0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000,13000,,,,,2524.0,2524.0,1788,1788,1313.0,1313.0,5625.0,79545.0,5625.0,5625.0,,,,,2404.0,2404.0,1703.0,1703.0,1250.0,1250.0,5357.0,79277.0,5357.0,5357.0,4.8,10.27
2,2.0,2.0,13000,26000,,,,,2524.0,5048.0,1788,3576,1313.0,2626.0,5625.0,85170.0,5625.0,11250.0,,,,,2289.0,4693.0,1622.0,3325.0,1191.0,2441.0,5102.0,84379.0,5102.0,10459.0,4.8,15.08
3,3.0,3.0,13000,39000,,,,,2524.0,7572.0,1788,5364,1313.0,3939.0,5625.0,90795.0,5625.0,16875.0,,,,,2180.0,6873.0,1545.0,4869.0,1134.0,3576.0,4859.0,89238.0,4859.0,15318.0,4.8,19.88
4,4.0,4.0,13000,52000,,,,,2524.0,10096.0,1788,7152,1313.0,5252.0,5625.0,96420.0,5625.0,22500.0,,,,,2076.0,8950.0,1471.0,6340.0,1080.0,4656.0,4628.0,93866.0,4628.0,19946.0,4.8,24.69
5,5.0,5.0,13000,65000,,,,,2524.0,12620.0,1788,8940,1313.0,6565.0,5625.0,102045.0,5625.0,28125.0,,,,,1978.0,10927.0,1401.0,7741.0,1029.0,5685.0,4407.0,98273.0,4407.0,24353.0,4.8,29.49
6,6.0,6.0,13000,78000,,,,,2524.0,15144.0,1788,10728,1313.0,7878.0,5625.0,107670.0,5625.0,33750.0,,,,,1883.0,12811.0,1334.0,9075.0,980.0,6664.0,4197.0,102470.0,4197.0,28550.0,4.8,34.3
7,7.0,7.0,13000,91000,,,,,2524.0,17668.0,1788,12516,1313.0,9191.0,5625.0,113295.0,5625.0,39375.0,,,,,1794.0,14604.0,1271.0,10346.0,933.0,7598.0,3998.0,106468.0,3998.0,32548.0,4.8,39.1
8,8.0,8.0,13000,104000,,,,,2524.0,20192.0,1788,14304,1313.0,10504.0,5625.0,118920.0,5625.0,45000.0,,,,,1708.0,16313.0,1210.0,11556.0,889.0,8486.0,3807.0,110275.0,3807.0,36355.0,4.8,43.91
9,9.0,9.0,13000,117000,,,,,2524.0,22715.0,1788,16092,1313.0,11817.0,5625.0,124544.0,5625.0,50624.0,,,,,1627.0,17940.0,1153.0,12709.0,846.0,9333.0,3626.0,113901.0,3626.0,39981.0,4.8,48.71
10,10.0,10.0,13000,130000,,,,,2524.0,25239.0,1788,17880,1313.0,13130.0,5625.0,130169.0,5625.0,56249.0,,,,,1549.0,19489.0,1098.0,13806.0,806.0,10139.0,3453.0,117354.0,3453.0,43434.0,4.8,53.52
11,11.0,11.0,13000,143000,,,,,2524.0,27763.0,1788,19668,1313.0,14443.0,5625.0,135794.0,5625.0,61874.0,,,,,1476.0,20965.0,1045.0,14852.0,768.0,10906.0,3289.0,120643.0,3289.0,46723.0,4.8,58.32
11.5,11.5,11.5,6500,149500,,,,,1262.0,29025.0,894,20562,656.0,15100.0,2812.0,138607.0,2812.0,64687.0,,,,,720.0,21685.0,510.0,15362.0,375.0,11281.0,1605.0,122248.0,1605.0,48328.0,2.4,60.72
post-use,11.5,12.65,0,149500,0,73920,0,0,0.0,29025.0,0,20562,0.0,15100.0,0.0,138607.0,0.0,64687.0,0,73920,0,0,0.0,21685.0,0.0,15362.0,0.0,11281.0,0.0,122248.0,0.0,48328.0,0.0,60.72
