period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,2077.0,2077.0,1788.0,1788.0,1313.0,1313.0,5178.0,69385.0,5178.0,5178.0,,,,,1978.0,1978.0,1703.0,1703.0,1250.0,1250.0,4932.0,69139.0,4932.0,4932.0,5.99,11.46
2,2.0,2.0,13000.0,26000,,,,,2077.0,4155.0,1788.0,3576.0,1313.0,2626.0,5178.0,74564.0,5178.0,10357.0,,,,,1884.0,3863.0,1622.0,3325.0,1191.0,2441.0,4697.0,73836.0,4697.0,9629.0,5.99,17.46
3,3.0,3.0,13000.0,39000,,,,,2077.0,6232.0,1788.0,5364.0,1313.0,3939.0,5178.0,79742.0,5178.0,15535.0,,,,,1795.0,5657.0,1545.0,4869.0,1134.0,3576.0,4473.0,78309.0,4473.0,14102.0,5.99,23.45
4,4.0,4.0,13000.0,52000,,,,,2077.0,8309.0,1788.0,7152.0,1313.0,5252.0,5178.0,84920.0,5178.0,20713.0,,,,,1709.0,7366.0,1471.0,6340.0,1080.0,4656.0,4260.0,82569.0,4260.0,18362.0,5.99,29.45
5,5.0,5.0,13000.0,65000,,,,,2077.0,10387.0,1788.0,8940.0,1313.0,6565.0,5178.0,90099.0,5178.0,25892.0,,,,,1628.0,8994.0,1401.0,7741.0,1029.0,5685.0,4057.0,86627.0,4057.0,22420.0,5.99,35.44
6,6.0,6.0,13000.0,78000,,,,,2077.0,12464.0,1788.0,10728.0,1313.0,7878.0,5178.0,95277.0,5178.0,31070.0,,,,,1550.0,10544.0,1334.0,9075.0,980.0,6664.0,3864.0,90491.0,3864.0,26284.0,5.99,41.43
7,7.0,7.0,13000.0,91000,,,,,2077.0,14542.0,1788.0,12516.0,1313.0,9191.0,5178.0,100456.0,5178.0,36249.0,,,,,1476.0,12020.0,1271.0,10346.0,933.0,7598.0,3680.0,94171.0,3680.0,29964.0,5.99,47.43
8,8.0,8.0,13000.0,104000,,,,,2077.0,16619.0,1788.0,14304.0,1313.0,10504.0,5178.0,105634.0,5178.0,41427.0,,,,,1406.0,13426.0,1210.0,11556.0,889.0,8486.0,3505.0,97676.0,3505.0,33469.0,5.99,53.42
8.9,8.9,8.9,11700.000000000005,115700,,,,,1870.0,18489.0,1609.0,15913.0,1182.0,11686.0,4661.0,110294.0,4661.0,46087.0,,,,,1211.0,14638.0,1042.0,12599.0,765.0,9252.0,3019.0,100695.0,3019.0,36488.0,5.39,58.82
post-use,8.9,9.790000000000001,0.0,115700,0,64207,0,0,0.0,18489.0,0.0,15913.0,0.0,11686.0,0.0,110294.0,0.0,46087.0,0,64207,0,0,0.0,14638.0,0.0,12599.0,0.0,9252.0,0.0,100695.0,0.0,36488.0,0.0,58.82
