period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,1534.0,1534.0,1788.0,1788.0,1313.0,1313.0,4635.0,47089.0,4635.0,4635.0,,,,,1461.0,1461.0,1703.0,1703.0,1250.0,1250.0,4414.0,46868.0,4414.0,4414.0,3.57,9.04
2,2.0,2.0,13000.0,26000,,,,,1534.0,3067.0,1788.0,3576.0,1313.0,2626.0,4635.0,51724.0,4635.0,9269.0,,,,,1391.0,2852.0,1622.0,3325.0,1191.0,2441.0,4204.0,51072.0,4204.0,8618.0,3.57,12.62
3,3.0,3.0,13000.0,39000,,,,,1534.0,4601.0,1788.0,5364.0,1313.0,3939.0,4635.0,56358.0,4635.0,13904.0,,,,,1325.0,4176.0,1545.0,4869.0,1134.0,3576.0,4004.0,55076.0,4004.0,12621.0,3.57,16.19
4,4.0,4.0,13000.0,52000,,,,,1534.0,6135.0,1788.0,7152.0,1313.0,5252.0,4635.0,60993.0,4635.0,18539.0,,,,,1262.0,5438.0,1471.0,6340.0,1080.0,4656.0,3813.0,58889.0,3813.0,16434.0,3.57,19.76
5,5.0,5.0,13000.0,65000,,,,,1534.0,7668.0,1788.0,8940.0,1313.0,6565.0,4635.0,65628.0,4635.0,23173.0,,,,,1202.0,6640.0,1401.0,7741.0,1029.0,5685.0,3631.0,62520.0,3631.0,20066.0,3.57,23.33
6,6.0,6.0,13000.0,78000,,,,,1534.0,9202.0,1788.0,10728.0,1313.0,7878.0,4635.0,70262.0,4635.0,27808.0,,,,,1144.0,7784.0,1334.0,9075.0,980.0,6664.0,3458.0,65978.0,3458.0,23524.0,3.57,26.91
7,7.0,7.0,13000.0,91000,,,,,1534.0,10735.0,1788.0,12516.0,1313.0,9191.0,4635.0,74897.0,4635.0,32442.0,,,,,1090.0,8874.0,1271.0,10346.0,933.0,7598.0,3294.0,69272.0,3294.0,26818.0,3.57,30.48
8,8.0,8.0,13000.0,104000,,,,,1534.0,12269.0,1788.0,14304.0,1313.0,10504.0,4635.0,79532.0,4635.0,37077.0,,,,,1038.0,9912.0,1210.0,11556.0,889.0,8486.0,3137.0,72409.0,3137.0,29955.0,3.57,34.05
9,9.0,9.0,13000.0,117000,,,,,1534.0,13803.0,1788.0,16092.0,1313.0,11817.0,4635.0,84166.0,4635.0,41712.0,,,,,989.0,10901.0,1153.0,12709.0,846.0,9333.0,2988.0,75397.0,2988.0,32942.0,3.57,37.62
10,10.0,10.0,13000.0,130000,,,,,1534.0,15336.0,1788.0,17880.0,1313.0,13130.0,4635.0,88801.0,4635.0,46346.0,,,,,942.0,11842.0,1098.0,13806.0,806.0,10139.0,2845.0,78242.0,2845.0,35787.0,3.57,41.2
10.7,10.7,10.7,9099.99999999999,139100,,,,,1074.0,16410.0,1252.0,19132.0,919.0,14049.0,3244.0,92045.0,3244.0,49591.0,,,,,637.0,12479.0,743.0,14549.0,545.0,10684.0,1925.0,80167.0,1925.0,37712.0,2.5,43.7
post-use,10.7,11.77,0.0,139100,0.0,42454.0,0,0,0.0,16410.0,0.0,19132.0,0.0,14049.0,0.0,92045.0,0.0,49591.0,0.0,42454.0,0,0,0.0,12479.0,0.0,14549.0,0.0,10684.0,0.0,80167.0,0.0,37712.0,0.0,43.7
