period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,1321.0,1321.0,1788.0,1788.0,1313.0,1313.0,4422.0,56359.0,4422.0,4422.0,,,,,1258.0,1258.0,1703.0,1703.0,1250.0,1250.0,4212.0,56148.0,4212.0,4212.0,3.66,9.13
2,2.0,2.0,13000.0,26000,,,,,1321.0,2643.0,1788.0,3576.0,1313.0,2626.0,4422.0,60781.0,4422.0,8845.0,,,,,1198.0,2457.0,1622.0,3325.0,1191.0,2441.0,4011.0,60159.0,4011.0,8223.0,3.66,12.79
3,3.0,3.0,13000.0,39000,,,,,1321.0,3964.0,1788.0,5364.0,1313.0,3939.0,4422.0,65203.0,4422.0,13267.0,,,,,1141.0,3598.0,1545.0,4869.0,1134.0,3576.0,3820.0,63979.0,3820.0,12043.0,3.66,16.45
4,4.0,4.0,13000.0,52000,,,,,1321.0,5285.0,1788.0,7152.0,1313.0,5252.0,4422.0,69626.0,4422.0,17689.0,,,,,1087.0,4685.0,1471.0,6340.0,1080.0,4656.0,3638.0,67618.0,3638.0,15681.0,3.66,20.12
5,5.0,5.0,13000.0,65000,,,,,1321.0,6606.0,1788.0,8940.0,1313.0,6565.0,4422.0,74048.0,4422.0,22111.0,,,,,1035.0,5720.0,1401.0,7741.0,1029.0,5685.0,3465.0,71083.0,3465.0,19146.0,3.66,23.78
6,6.0,6.0,13000.0,78000,,,,,1321.0,7928.0,1788.0,10728.0,1313.0,7878.0,4422.0,78470.0,4422.0,26534.0,,,,,986.0,6706.0,1334.0,9075.0,980.0,6664.0,3300.0,74383.0,3300.0,22446.0,3.66,27.44
7,7.0,7.0,13000.0,91000,,,,,1321.0,9249.0,1788.0,12516.0,1313.0,9191.0,4422.0,82892.0,4422.0,30956.0,,,,,939.0,7645.0,1271.0,10346.0,933.0,7598.0,3143.0,77525.0,3143.0,25589.0,3.66,31.1
8,8.0,8.0,13000.0,104000,,,,,1321.0,10570.0,1788.0,14304.0,1313.0,10504.0,4422.0,87315.0,4422.0,35378.0,,,,,894.0,8540.0,1210.0,11556.0,889.0,8486.0,2993.0,80519.0,2993.0,28582.0,3.66,34.76
9,9.0,9.0,13000.0,117000,,,,,1321.0,11891.0,1788.0,16092.0,1313.0,11817.0,4422.0,91737.0,4422.0,39800.0,,,,,852.0,9391.0,1153.0,12709.0,846.0,9333.0,2851.0,83369.0,2851.0,31433.0,3.66,38.42
10,10.0,10.0,13000.0,130000,,,,,1321.0,13213.0,1788.0,17880.0,1313.0,13130.0,4422.0,96159.0,4422.0,44223.0,,,,,811.0,10203.0,1098.0,13806.0,806.0,10139.0,2715.0,86084.0,2715.0,34148.0,3.66,42.08
10.7,10.7,10.7,9099.99999999999,139100,,,,,925.0,14138.0,1252.0,19132.0,919.0,14049.0,3096.0,99255.0,3096.0,47318.0,,,,,549.0,10751.0,743.0,14549.0,545.0,10684.0,1837.0,87921.0,1837.0,35984.0,2.56,44.65
post-use,10.7,11.77,0.0,139100,0.0,51936.0,0,0,0.0,14138.0,0.0,19132.0,0.0,14049.0,0.0,99255.0,0.0,47318.0,0.0,51936.0,0,0,0.0,10751.0,0.0,14549.0,0.0,10684.0,0.0,87921.0,0.0,35984.0,0.0,44.65
