period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,1102.0,1102.0,1884.0,1884.0,793.0,793.0,-3721.0,68279.0,-3721.0,-3721.0,,,-7143.0,-7143.0,1049.0,1049.0,1794.0,1794.0,755.0,755.0,-3544.0,68456.0,-3544.0,-3544.0,1.25,11.07
2,2.0,2.0,13000.0,26000,,,,,1102.0,2203.0,1884.0,3768.0,793.0,1586.0,3779.0,72057.0,3779.0,57.0,,,,,999.0,2048.0,1709.0,3503.0,719.0,1475.0,3427.0,71883.0,3427.0,-117.0,1.25,12.32
3,3.0,3.0,13000.0,39000,,,,,1102.0,3305.0,1884.0,5652.0,793.0,2379.0,3779.0,75836.0,3779.0,3836.0,,,,,952.0,3000.0,1627.0,5131.0,685.0,2160.0,3264.0,75147.0,3264.0,3147.0,1.25,13.58
4,4.0,4.0,13000.0,52000,,,,,1102.0,4406.0,1884.0,7536.0,793.0,3172.0,3779.0,79614.0,3779.0,7614.0,,,,,906.0,3906.0,1550.0,6681.0,652.0,2812.0,3109.0,78256.0,3109.0,6256.0,1.25,14.83
5,5.0,5.0,13000.0,65000,,,,,1102.0,5508.0,1884.0,9420.0,793.0,3965.0,3779.0,83393.0,3779.0,11393.0,,,,,863.0,4769.0,1476.0,8157.0,621.0,3433.0,2961.0,81217.0,2961.0,9217.0,1.25,16.08
6,6.0,6.0,13000.0,78000,,,,,1102.0,6610.0,1884.0,11304.0,793.0,4758.0,3779.0,87172.0,3779.0,15172.0,,,,,822.0,5591.0,1406.0,9563.0,592.0,4025.0,2820.0,84036.0,2820.0,12036.0,1.25,17.33
7,7.0,7.0,13000.0,91000,,,,,1102.0,7711.0,1884.0,13188.0,793.0,5551.0,3779.0,90950.0,3779.0,18950.0,,,,,783.0,6374.0,1339.0,10902.0,564.0,4589.0,2685.0,86722.0,2685.0,14722.0,1.25,18.58
8,8.0,8.0,13000.0,104000,,,,,1102.0,8813.0,1884.0,15072.0,793.0,6344.0,3779.0,94729.0,3779.0,22729.0,,,,,746.0,7120.0,1275.0,12177.0,537.0,5125.0,2558.0,89279.0,2558.0,17279.0,1.25,19.83
9,9.0,9.0,13000.0,117000,,,,,1102.0,9915.0,1884.0,16956.0,793.0,7137.0,3779.0,98508.0,3779.0,26508.0,,,,,710.0,7830.0,1214.0,13391.0,511.0,5637.0,2436.0,91715.0,2436.0,19715.0,1.25,21.08
10,10.0,10.0,13000.0,130000,,,,,1102.0,11016.0,1884.0,18840.0,793.0,7930.0,3779.0,102286.0,3779.0,30286.0,,,,,676.0,8506.0,1157.0,14548.0,487.0,6123.0,2320.0,94035.0,2320.0,22035.0,1.25,22.34
10.7,10.7,10.7,9099.99999999999,139100,,,,,771.0,11787.0,1319.0,20159.0,555.0,8485.0,2645.0,104931.0,2645.0,32931.0,,,,,458.0,8964.0,782.0,15330.0,329.0,6453.0,1569.0,95604.0,1569.0,23604.0,0.88,23.21
post-use,10.7,11.77,0.0,139100,0,72000,0,-7500,0.0,11787.0,0.0,20159.0,0.0,8485.0,0.0,104931.0,0.0,32931.0,0,72000,0.0,-7143.0,0.0,8964.0,0.0,15330.0,0.0,6453.0,0.0,95604.0,0.0,23604.0,0.0,23.21
