period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,62744.0,62744.0,,,0.0,0.0,0,0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000,13000,,,,,2360.0,2360.0,1788,1788,1313.0,1313.0,5461.0,68206.0,5461.0,5461.0,,,,,2248.0,2248.0,1703.0,1703.0,1250.0,1250.0,5201.0,67946.0,5201.0,5201.0,5.12,10.59
2,2.0,2.0,13000,26000,,,,,2360.0,4721.0,1788,3576,1313.0,2626.0,5461.0,73667.0,5461.0,10923.0,,,,,2141.0,4389.0,1622.0,3325.0,1191.0,2441.0,4954.0,72899.0,4954.0,10155.0,5.12,15.71
3,3.0,3.0,13000,39000,,,,,2360.0,7081.0,1788,5364,1313.0,3939.0,5461.0,79128.0,5461.0,16384.0,,,,,2039.0,6428.0,1545.0,4869.0,1134.0,3576.0,4718.0,77617.0,4718.0,14873.0,5.12,20.83
4,4.0,4.0,13000,52000,,,,,2360.0,9441.0,1788,7152,1313.0,5252.0,5461.0,84590.0,5461.0,21845.0,,,,,1942.0,8370.0,1471.0,6340.0,1080.0,4656.0,4493.0,82110.0,4493.0,19366.0,5.12,25.94
5,5.0,5.0,13000,65000,,,,,2360.0,11802.0,1788,8940,1313.0,6565.0,5461.0,90051.0,5461.0,27307.0,,,,,1849.0,10219.0,1401.0,7741.0,1029.0,5685.0,4279.0,86389.0,4279.0,23645.0,5.12,31.06
6,6.0,6.0,13000,78000,,,,,2360.0,14162.0,1788,10728,1313.0,7878.0,5461.0,95513.0,5461.0,32768.0,,,,,1761.0,11980.0,1334.0,9075.0,980.0,6664.0,4075.0,90465.0,4075.0,27720.0,5.12,36.18
7,7.0,7.0,13000,91000,,,,,2360.0,16523.0,1788,12516,1313.0,9191.0,5461.0,100974.0,5461.0,38230.0,,,,,1677.0,13658.0,1271.0,10346.0,933.0,7598.0,3881.0,94346.0,3881.0,31601.0,5.12,41.3
8,8.0,8.0,13000,104000,,,,,2360.0,18883.0,1788,14304,1313.0,10504.0,5461.0,106435.0,5461.0,43691.0,,,,,1598.0,15256.0,1210.0,11556.0,889.0,8486.0,3696.0,98042.0,3696.0,35298.0,5.12,46.42
9,9.0,9.0,13000,117000,,,,,2360.0,21243.0,1788,16092,1313.0,11817.0,5461.0,111897.0,5461.0,49152.0,,,,,1522.0,16777.0,1153.0,12709.0,846.0,9333.0,3520.0,101563.0,3520.0,38818.0,5.12,51.54
10,10.0,10.0,13000,130000,,,,,2360.0,23604.0,1788,17880,1313.0,13130.0,5461.0,117358.0,5461.0,54614.0,,,,,1449.0,18226.0,1098.0,13806.0,806.0,10139.0,3353.0,104916.0,3353.0,42171.0,5.12,56.66
11,11.0,11.0,13000,143000,,,,,2360.0,25964.0,1788,19668,1313.0,14443.0,5461.0,122819.0,5461.0,60075.0,,,,,1380.0,19606.0,1045.0,14852.0,768.0,10906.0,3193.0,108109.0,3193.0,45364.0,5.12,61.78
11.5,11.5,11.5,6500,149500,,,,,1180.0,27144.0,894,20562,656.0,15100.0,2731.0,125550.0,2731.0,62806.0,,,,,673.0,20280.0,510.0,15362.0,375.0,11281.0,1558.0,109667.0,1558.0,46922.0,2.56,64.33
post-use,11.5,12.65,0,149500,0.0,62744.0,0,0,0.0,27144.0,0,20562,0.0,15100.0,0.0,125550.0,0.0,62806.0,0.0,62744.0,0,0,0.0,20280.0,0.0,15362.0,0.0,11281.0,0.0,109667.0,0.0,46922.0,0.0,64.33
