period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,1209.0,1209.0,1788.0,1788.0,1313.0,1313.0,4310.0,51505.0,4310.0,4310.0,,,,,1151.0,1151.0,1703.0,1703.0,1250.0,1250.0,4105.0,51300.0,4105.0,4105.0,3.6,9.07
2,2.0,2.0,13000.0,26000,,,,,1209.0,2418.0,1788.0,3576.0,1313.0,2626.0,4310.0,55815.0,4310.0,8620.0,,,,,1096.0,2248.0,1622.0,3325.0,1191.0,2441.0,3909.0,55209.0,3909.0,8014.0,3.6,12.67
3,3.0,3.0,13000.0,39000,,,,,1209.0,3626.0,1788.0,5364.0,1313.0,3939.0,4310.0,60125.0,4310.0,12929.0,,,,,1044.0,3292.0,1545.0,4869.0,1134.0,3576.0,3723.0,58932.0,3723.0,11737.0,3.6,16.27
4,4.0,4.0,13000.0,52000,,,,,1209.0,4835.0,1788.0,7152.0,1313.0,5252.0,4310.0,64435.0,4310.0,17239.0,,,,,994.0,4286.0,1471.0,6340.0,1080.0,4656.0,3546.0,62478.0,3546.0,15282.0,3.6,19.87
5,5.0,5.0,13000.0,65000,,,,,1209.0,6044.0,1788.0,8940.0,1313.0,6565.0,4310.0,68745.0,4310.0,21549.0,,,,,947.0,5234.0,1401.0,7741.0,1029.0,5685.0,3377.0,65855.0,3377.0,18659.0,3.6,23.47
6,6.0,6.0,13000.0,78000,,,,,1209.0,7253.0,1788.0,10728.0,1313.0,7878.0,4310.0,73054.0,4310.0,25859.0,,,,,902.0,6136.0,1334.0,9075.0,980.0,6664.0,3216.0,69071.0,3216.0,21875.0,3.6,27.07
7,7.0,7.0,13000.0,91000,,,,,1209.0,8462.0,1788.0,12516.0,1313.0,9191.0,4310.0,77364.0,4310.0,30169.0,,,,,859.0,6995.0,1271.0,10346.0,933.0,7598.0,3063.0,72134.0,3063.0,24938.0,3.6,30.66
8,8.0,8.0,13000.0,104000,,,,,1209.0,9670.0,1788.0,14304.0,1313.0,10504.0,4310.0,81674.0,4310.0,34478.0,,,,,818.0,7813.0,1210.0,11556.0,889.0,8486.0,2917.0,75051.0,2917.0,27855.0,3.6,34.26
9,9.0,9.0,13000.0,117000,,,,,1209.0,10879.0,1788.0,16092.0,1313.0,11817.0,4310.0,85984.0,4310.0,38788.0,,,,,779.0,8592.0,1153.0,12709.0,846.0,9333.0,2778.0,77829.0,2778.0,30633.0,3.6,37.86
10,10.0,10.0,13000.0,130000,,,,,1209.0,12088.0,1788.0,17880.0,1313.0,13130.0,4310.0,90294.0,4310.0,43098.0,,,,,742.0,9334.0,1098.0,13806.0,806.0,10139.0,2646.0,80475.0,2646.0,33279.0,3.6,41.46
10.7,10.7,10.7,9099.99999999999,139100,,,,,846.0,12934.0,1252.0,19132.0,919.0,14049.0,3017.0,93310.0,3017.0,46115.0,,,,,502.0,9836.0,743.0,14549.0,545.0,10684.0,1790.0,82265.0,1790.0,35069.0,2.52,43.98
post-use,10.7,11.77,0.0,139100,0.0,47196.0,0,0,0.0,12934.0,0.0,19132.0,0.0,14049.0,0.0,93310.0,0.0,46115.0,0.0,47196.0,0,0,0.0,9836.0,0.0,14549.0,0.0,10684.0,0.0,82265.0,0.0,35069.0,0.0,43.98
