period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,474.0,474.0,1884.0,1884.0,793.0,793.0,-4349.0,24651.0,-4349.0,-4349.0,,,-7143.0,-7143.0,452.0,452.0,1794.0,1794.0,755.0,755.0,-4142.0,24858.0,-4142.0,-4142.0,1.54,11.36
2,2.0,2.0,13000.0,26000,,,,,474.0,949.0,1884.0,3768.0,793.0,1586.0,3151.0,27803.0,3151.0,-1197.0,,,,,430.0,882.0,1709.0,3503.0,719.0,1475.0,2858.0,27717.0,2858.0,-1283.0,1.54,12.9
3,3.0,3.0,13000.0,39000,,,,,474.0,1423.0,1884.0,5652.0,793.0,2379.0,3151.0,30954.0,3151.0,1954.0,,,,,410.0,1292.0,1627.0,5131.0,685.0,2160.0,2722.0,30439.0,2722.0,1439.0,1.54,14.44
4,4.0,4.0,13000.0,52000,,,,,474.0,1897.0,1884.0,7536.0,793.0,3172.0,3151.0,34105.0,3151.0,5105.0,,,,,390.0,1682.0,1550.0,6681.0,652.0,2812.0,2593.0,33032.0,2593.0,4032.0,1.54,15.98
5,5.0,5.0,13000.0,65000,,,,,474.0,2372.0,1884.0,9420.0,793.0,3965.0,3151.0,37257.0,3151.0,8257.0,,,,,372.0,2054.0,1476.0,8157.0,621.0,3433.0,2469.0,35501.0,2469.0,6501.0,1.54,17.53
6,6.0,6.0,13000.0,78000,,,,,474.0,2846.0,1884.0,11304.0,793.0,4758.0,3151.0,40408.0,3151.0,11408.0,,,,,354.0,2408.0,1406.0,9563.0,592.0,4025.0,2352.0,37852.0,2352.0,8852.0,1.54,19.07
7,7.0,7.0,13000.0,91000,,,,,474.0,3320.0,1884.0,13188.0,793.0,5551.0,3151.0,43559.0,3151.0,14559.0,,,,,337.0,2745.0,1339.0,10902.0,564.0,4589.0,2240.0,40092.0,2240.0,11092.0,1.54,20.61
8,8.0,8.0,13000.0,104000,,,,,474.0,3795.0,1884.0,15072.0,793.0,6344.0,3151.0,46711.0,3151.0,17711.0,,,,,321.0,3066.0,1275.0,12177.0,537.0,5125.0,2133.0,42225.0,2133.0,13225.0,1.54,22.15
9,9.0,9.0,13000.0,117000,,,,,474.0,4269.0,1884.0,16956.0,793.0,7137.0,3151.0,49862.0,3151.0,20862.0,,,,,306.0,3371.0,1214.0,13391.0,511.0,5637.0,2031.0,44256.0,2031.0,15256.0,1.54,23.69
10,10.0,10.0,13000.0,130000,,,,,474.0,4743.0,1884.0,18840.0,793.0,7930.0,3151.0,53013.0,3151.0,24013.0,,,,,291.0,3663.0,1157.0,14548.0,487.0,6123.0,1935.0,46191.0,1935.0,17191.0,1.54,25.23
10.7,10.7,10.7,9099.99999999999,139100,,,,,332.0,5075.0,1319.0,20159.0,555.0,8485.0,2206.0,55219.0,2206.0,26219.0,,,,,197.0,3860.0,782.0,15330.0,329.0,6453.0,1309.0,47500.0,1309.0,18500.0,1.08,26.31
post-use,10.7,11.77,0.0,139100,0,29000,0,-7500,0.0,5075.0,0.0,20159.0,0.0,8485.0,0.0,55219.0,0.0,26219.0,0,29000,0.0,-7143.0,0.0,3860.0,0.0,15330.0,0.0,6453.0,0.0,47500.0,0.0,18500.0,0.0,26.31
