period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,1387.0,1387.0,1788.0,1788.0,1313.0,1313.0,4488.0,26188.0,4488.0,4488.0,,,,,1321.0,1321.0,1703.0,1703.0,1250.0,1250.0,4274.0,25974.0,4274.0,4274.0,3.46,8.93
2,2.0,2.0,13000.0,26000,,,,,1387.0,2773.0,1788.0,3576.0,1313.0,2626.0,4488.0,30675.0,4488.0,8975.0,,,,,1258.0,2578.0,1622.0,3325.0,1191.0,2441.0,4070.0,30044.0,4070.0,8344.0,3.46,12.39
3,3.0,3.0,13000.0,39000,,,,,1387.0,4160.0,1788.0,5364.0,1313.0,3939.0,4488.0,35163.0,4488.0,13463.0,,,,,1198.0,3776.0,1545.0,4869.0,1134.0,3576.0,3877.0,33921.0,3877.0,12221.0,3.46,15.85
4,4.0,4.0,13000.0,52000,,,,,1387.0,5547.0,1788.0,7152.0,1313.0,5252.0,4488.0,39651.0,4488.0,17951.0,,,,,1141.0,4917.0,1471.0,6340.0,1080.0,4656.0,3692.0,37613.0,3692.0,15913.0,3.46,19.31
5,5.0,5.0,13000.0,65000,,,,,1387.0,6933.0,1788.0,8940.0,1313.0,6565.0,4488.0,44138.0,4488.0,22438.0,,,,,1086.0,6004.0,1401.0,7741.0,1029.0,5685.0,3516.0,41129.0,3516.0,19429.0,3.46,22.77
6,6.0,6.0,13000.0,78000,,,,,1387.0,8320.0,1788.0,10728.0,1313.0,7878.0,4488.0,48626.0,4488.0,26926.0,,,,,1035.0,7038.0,1334.0,9075.0,980.0,6664.0,3349.0,44478.0,3349.0,22778.0,3.46,26.23
7,7.0,7.0,13000.0,91000,,,,,1387.0,9707.0,1788.0,12516.0,1313.0,9191.0,4488.0,53114.0,4488.0,31414.0,,,,,985.0,8024.0,1271.0,10346.0,933.0,7598.0,3189.0,47667.0,3189.0,25967.0,3.46,29.69
8,8.0,8.0,13000.0,104000,,,,,1387.0,11093.0,1788.0,14304.0,1313.0,10504.0,4488.0,57601.0,4488.0,35901.0,,,,,939.0,8962.0,1210.0,11556.0,889.0,8486.0,3037.0,50705.0,3037.0,29005.0,3.46,33.14
9,9.0,9.0,13000.0,117000,,,,,1387.0,12480.0,1788.0,16092.0,1313.0,11817.0,4488.0,62089.0,4488.0,40389.0,,,,,894.0,9856.0,1153.0,12709.0,846.0,9333.0,2893.0,53598.0,2893.0,31898.0,3.46,36.6
10,10.0,10.0,13000.0,130000,,,,,1387.0,13867.0,1788.0,17880.0,1313.0,13130.0,4488.0,66577.0,4488.0,44877.0,,,,,851.0,10707.0,1098.0,13806.0,806.0,10139.0,2755.0,56353.0,2755.0,34653.0,3.46,40.06
10.7,10.7,10.7,9099.99999999999,139100,,,,,971.0,14837.0,1252.0,19132.0,919.0,14049.0,3141.0,69718.0,3141.0,48018.0,,,,,576.0,11283.0,743.0,14549.0,545.0,10684.0,1864.0,58216.0,1864.0,36516.0,2.42,42.48
post-use,10.7,11.77,0.0,139100,0,21700,0,0,0.0,14837.0,0.0,19132.0,0.0,14049.0,0.0,69718.0,0.0,48018.0,0,21700,0,0,0.0,11283.0,0.0,14549.0,0.0,10684.0,0.0,58216.0,0.0,36516.0,0.0,42.48
