period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,592.0,592.0,1884.0,1884.0,793.0,793.0,-4232.0,67768.0,-4232.0,-4232.0,,,-7143.0,-7143.0,563.0,563.0,1794.0,1794.0,755.0,755.0,-4030.0,67970.0,-4030.0,-4030.0,4.81,14.63
2,2.0,2.0,13000.0,26000,,,,,592.0,1183.0,1884.0,3768.0,793.0,1586.0,3268.0,71037.0,3268.0,-963.0,,,,,537.0,1100.0,1709.0,3503.0,719.0,1475.0,2965.0,70935.0,2965.0,-1065.0,4.81,19.44
3,3.0,3.0,13000.0,39000,,,,,592.0,1775.0,1884.0,5652.0,793.0,2379.0,3268.0,74306.0,3268.0,2306.0,,,,,511.0,1611.0,1627.0,5131.0,685.0,2160.0,2823.0,73758.0,2823.0,1758.0,4.81,24.25
4,4.0,4.0,13000.0,52000,,,,,592.0,2366.0,1884.0,7536.0,793.0,3172.0,3268.0,77574.0,3268.0,5574.0,,,,,487.0,2097.0,1550.0,6681.0,652.0,2812.0,2689.0,76447.0,2689.0,4447.0,4.81,29.06
5,5.0,5.0,13000.0,65000,,,,,592.0,2958.0,1884.0,9420.0,793.0,3965.0,3268.0,80842.0,3268.0,8842.0,,,,,463.0,2561.0,1476.0,8157.0,621.0,3433.0,2561.0,79008.0,2561.0,7008.0,4.81,33.87
6,6.0,6.0,13000.0,78000,,,,,592.0,3549.0,1884.0,11304.0,793.0,4758.0,3268.0,84111.0,3268.0,12111.0,,,,,441.0,3002.0,1406.0,9563.0,592.0,4025.0,2439.0,81447.0,2439.0,9447.0,4.81,38.67
7,7.0,7.0,13000.0,91000,,,,,592.0,4141.0,1884.0,13188.0,793.0,5551.0,3268.0,87380.0,3268.0,15380.0,,,,,420.0,3423.0,1339.0,10902.0,564.0,4589.0,2323.0,83770.0,2323.0,11770.0,4.81,43.48
8,8.0,8.0,13000.0,104000,,,,,592.0,4732.0,1884.0,15072.0,793.0,6344.0,3268.0,90648.0,3268.0,18648.0,,,,,400.0,3823.0,1275.0,12177.0,537.0,5125.0,2212.0,85982.0,2212.0,13982.0,4.81,48.29
9,9.0,9.0,13000.0,117000,,,,,592.0,5324.0,1884.0,16956.0,793.0,7137.0,3268.0,93916.0,3268.0,21916.0,,,,,381.0,4204.0,1214.0,13391.0,511.0,5637.0,2107.0,88089.0,2107.0,16089.0,4.81,53.1
10,10.0,10.0,13000.0,130000,,,,,592.0,5915.0,1884.0,18840.0,793.0,7930.0,3268.0,97185.0,3268.0,25185.0,,,,,363.0,4567.0,1157.0,14548.0,487.0,6123.0,2007.0,90096.0,2007.0,18096.0,4.81,57.91
10.7,10.7,10.7,9099.99999999999,139100,,,,,414.0,6329.0,1319.0,20159.0,555.0,8485.0,2288.0,99473.0,2288.0,27473.0,,,,,246.0,4813.0,782.0,15330.0,329.0,6453.0,1357.0,91453.0,1357.0,19453.0,3.37,61.28
post-use,10.7,11.77,0.0,139100,0,72000,0,-7500,0.0,6329.0,0.0,20159.0,0.0,8485.0,0.0,99473.0,0.0,27473.0,0,72000,0.0,-7143.0,0.0,4813.0,0.0,15330.0,0.0,6453.0,0.0,91453.0,0.0,19453.0,0.0,61.28
